record_id,reporting_date,programme_name,sector,state,lga,community,predicted_risk,high_risk_model_score,primary_driver,secondary_driver,tertiary_driver,strongest_protective_signal,recommended_investigation,decision_use
ES-003580,2026-04-01,Education Access Project,Education,Borno,Konduga,Konduga Site 4,Low,3.45845428572639e-08,Low activity completion,Elevated complaints,Lower data quality,Strong achievement,"Review delayed or incomplete activities and implementation constraints. | Review feedback and complaint records for recurring operational issues. | Validate source data, completeness and reporting quality.",Recommended for human review; the model does not make operational decisions.
ES-000796,2026-04-01,Community Resilience Programme,Protection/Resilience,Borno,Bama,Bama Site 1,High,0.8970882446955829,Elevated complaints,Low achievement,Access constraints,Strong activity completion,"Review feedback and complaint records for recurring operational issues. | Review progress against targets and identify implementation bottlenecks. | Review access, movement and operational constraints affecting delivery.",Recommended for human review; the model does not make operational decisions.
ES-005916,2026-04-01,Nutrition Support Programme,Nutrition,Borno,Dikwa,Dikwa Site 5,Low,4.3973921171178454e-07,Elevated complaints,Low activity completion,Access constraints,Strong achievement,"Review feedback and complaint records for recurring operational issues. | Review delayed or incomplete activities and implementation constraints. | Review access, movement and operational constraints affecting delivery.",Recommended for human review; the model does not make operational decisions.
ES-002716,2026-04-01,Livelihood Recovery Initiative,Livelihoods,Borno,Dikwa,Dikwa Site 1,Low,3.9877128073970434e-12,Reporting delay,Low activity completion,Previous-month achievement pattern,Strong achievement,Validate reporting timeliness and follow up on delayed field submissions. | Review delayed or incomplete activities and implementation constraints. | Review recent performance trends for persistent underachievement.,Recommended for human review; the model does not make operational decisions.
ES-001340,2026-04-01,Community Resilience Programme,Protection/Resilience,Borno,Dikwa,Dikwa Site 6,Low,5.797477805386231e-23,Supply delay,Access constraints,Previous-month achievement pattern,Strong achievement,"Review procurement, logistics and supply-chain bottlenecks. | Review access, movement and operational constraints affecting delivery. | Review recent performance trends for persistent underachievement.",Recommended for human review; the model does not make operational decisions.
ES-002812,2026-04-01,Livelihood Recovery Initiative,Livelihoods,Borno,Dikwa,Dikwa Site 4,Low,2.0041444127925702e-20,Low staff availability,Budget utilisation pattern,,Strong achievement,"Review staffing coverage, absences and field deployment capacity. | Review expenditure patterns against implementation progress.",Recommended for human review; the model does not make operational decisions.
ES-002620,2026-04-01,Livelihood Recovery Initiative,Livelihoods,Borno,Ngala,Ngala Site 4,Medium,0.0024188226503104,Access constraints,Low achievement,Low activity completion,Timely reporting,"Review access, movement and operational constraints affecting delivery. | Review progress against targets and identify implementation bottlenecks. | Review delayed or incomplete activities and implementation constraints.",Recommended for human review; the model does not make operational decisions.
ES-005244,2026-04-01,Nutrition Support Programme,Nutrition,Borno,Mafa,Mafa Site 2,Medium,0.0008376670017637,Low achievement,Supply delay,Low activity completion,Lower access constraints,"Review progress against targets and identify implementation bottlenecks. | Review procurement, logistics and supply-chain bottlenecks. | Review delayed or incomplete activities and implementation constraints.",Recommended for human review; the model does not make operational decisions.
ES-005276,2026-04-01,Nutrition Support Programme,Nutrition,Borno,Mafa,Mafa Site 3,High,0.9965117856866644,Low achievement,Lower data quality,Previous-month achievement pattern,Strong activity completion,"Review progress against targets and identify implementation bottlenecks. | Validate source data, completeness and reporting quality. | Review recent performance trends for persistent underachievement.",Recommended for human review; the model does not make operational decisions.
ES-007612,2026-04-01,WASH Resilience Initiative,WASH,Borno,Gwoza,Gwoza Site 4,Low,3.812468999266162e-17,Lower data quality,Access constraints,,Strong achievement,"Validate source data, completeness and reporting quality. | Review access, movement and operational constraints affecting delivery.",Recommended for human review; the model does not make operational decisions.
ES-000924,2026-04-01,Community Resilience Programme,Protection/Resilience,Borno,Bama,Bama Site 5,Low,3.336300656653512e-30,Lower data quality,Low activity completion,Previous-month achievement pattern,Strong achievement,"Validate source data, completeness and reporting quality. | Review delayed or incomplete activities and implementation constraints. | Review recent performance trends for persistent underachievement.",Recommended for human review; the model does not make operational decisions.
ES-007260,2026-04-01,WASH Resilience Initiative,WASH,Borno,Ngala,Ngala Site 5,Medium,0.0004265400120807,Low achievement,Low activity completion,Elevated complaints,Limited supply delay,Review progress against targets and identify implementation bottlenecks. | Review delayed or incomplete activities and implementation constraints. | Review feedback and complaint records for recurring operational issues.,Recommended for human review; the model does not make operational decisions.
ES-005884,2026-04-01,Nutrition Support Programme,Nutrition,Borno,Dikwa,Dikwa Site 4,Low,1.8184559430042528e-22,Supply delay,Previous-month achievement pattern,Lower data quality,Strong achievement,"Review procurement, logistics and supply-chain bottlenecks. | Review recent performance trends for persistent underachievement. | Validate source data, completeness and reporting quality.",Recommended for human review; the model does not make operational decisions.
ES-002492,2026-04-01,Livelihood Recovery Initiative,Livelihoods,Borno,Bama,Bama Site 6,Medium,0.0051702298873644,Low activity completion,Elevated complaints,Low achievement,Timely reporting,Review delayed or incomplete activities and implementation constraints. | Review feedback and complaint records for recurring operational issues. | Review progress against targets and identify implementation bottlenecks.,Recommended for human review; the model does not make operational decisions.
ES-002748,2026-04-01,Livelihood Recovery Initiative,Livelihoods,Borno,Dikwa,Dikwa Site 2,Low,5.633320897014073e-09,Reporting delay,Low achievement,Elevated complaints,Strong activity completion,Validate reporting timeliness and follow up on delayed field submissions. | Review progress against targets and identify implementation bottlenecks. | Review feedback and complaint records for recurring operational issues.,Recommended for human review; the model does not make operational decisions.
ES-004220,2026-04-01,Education Access Project,Education,Borno,Ngala,Ngala Site 6,Medium,1.2461282856135865e-06,Low achievement,Access constraints,Low staff availability,Limited supply delay,"Review progress against targets and identify implementation bottlenecks. | Review access, movement and operational constraints affecting delivery. | Review staffing coverage, absences and field deployment capacity.",Recommended for human review; the model does not make operational decisions.
ES-005660,2026-04-01,Nutrition Support Programme,Nutrition,Borno,Ngala,Ngala Site 3,Low,5.103749488729287e-22,Low activity completion,Previous-month achievement pattern,,Strong achievement,Review delayed or incomplete activities and implementation constraints. | Review recent performance trends for persistent underachievement.,Recommended for human review; the model does not make operational decisions.
ES-002588,2026-04-01,Livelihood Recovery Initiative,Livelihoods,Borno,Ngala,Ngala Site 3,Low,5.31988318391381e-09,Supply delay,Low activity completion,,Strong achievement,"Review procurement, logistics and supply-chain bottlenecks. | Review delayed or incomplete activities and implementation constraints.",Recommended for human review; the model does not make operational decisions.
ES-003676,2026-04-01,Education Access Project,Education,Borno,Mafa,Mafa Site 1,Medium,8.58529812452103e-06,Reporting delay,Low achievement,Previous-month achievement pattern,Strong activity completion,Validate reporting timeliness and follow up on delayed field submissions. | Review progress against targets and identify implementation bottlenecks. | Review recent performance trends for persistent underachievement.,Recommended for human review; the model does not make operational decisions.
ES-006268,2026-04-01,WASH Resilience Initiative,WASH,Borno,Maiduguri,Maiduguri Site 4,Low,5.952160527560958e-32,Low staff availability,Reporting delay,Previous-month achievement pattern,Strong achievement,"Review staffing coverage, absences and field deployment capacity. | Validate reporting timeliness and follow up on delayed field submissions. | Review recent performance trends for persistent underachievement.",Recommended for human review; the model does not make operational decisions.
ES-000444,2026-04-01,Community Resilience Programme,Protection/Resilience,Borno,Konduga,Konduga Site 2,Medium,3.0325539891545567e-06,Supply delay,Access constraints,Lower data quality,Strong activity completion,"Review procurement, logistics and supply-chain bottlenecks. | Review access, movement and operational constraints affecting delivery. | Validate source data, completeness and reporting quality.",Recommended for human review; the model does not make operational decisions.
ES-007580,2026-04-01,WASH Resilience Initiative,WASH,Borno,Gwoza,Gwoza Site 3,Medium,2.584461300974738e-06,Access constraints,Low activity completion,Reporting delay,Strong achievement,"Review access, movement and operational constraints affecting delivery. | Review delayed or incomplete activities and implementation constraints. | Validate reporting timeliness and follow up on delayed field submissions.",Recommended for human review; the model does not make operational decisions.
ES-001436,2026-04-01,Community Resilience Programme,Protection/Resilience,Borno,Gwoza,Gwoza Site 3,Low,1.520351846281598e-20,Supply delay,Lower data quality,Previous-month achievement pattern,Strong achievement,"Review procurement, logistics and supply-chain bottlenecks. | Validate source data, completeness and reporting quality. | Review recent performance trends for persistent underachievement.",Recommended for human review; the model does not make operational decisions.
ES-007548,2026-04-01,WASH Resilience Initiative,WASH,Borno,Gwoza,Gwoza Site 2,Low,1.4652548390697046e-15,Low activity completion,Low staff availability,Previous-month achievement pattern,Strong achievement,"Review delayed or incomplete activities and implementation constraints. | Review staffing coverage, absences and field deployment capacity. | Review recent performance trends for persistent underachievement.",Recommended for human review; the model does not make operational decisions.
ES-006428,2026-04-01,WASH Resilience Initiative,WASH,Borno,Jere,Jere Site 3,Low,8.650896771997491e-12,Reporting delay,Low achievement,Previous-month achievement pattern,Limited supply delay,Validate reporting timeliness and follow up on delayed field submissions. | Review progress against targets and identify implementation bottlenecks. | Review recent performance trends for persistent underachievement.,Recommended for human review; the model does not make operational decisions.
ES-004188,2026-04-01,Education Access Project,Education,Borno,Ngala,Ngala Site 5,Low,3.8614799023746295e-08,Low achievement,Reporting delay,Access constraints,Strong activity completion,"Review progress against targets and identify implementation bottlenecks. | Validate reporting timeliness and follow up on delayed field submissions. | Review access, movement and operational constraints affecting delivery.",Recommended for human review; the model does not make operational decisions.
ES-003548,2026-04-01,Education Access Project,Education,Borno,Konduga,Konduga Site 3,Medium,0.0007737354582721,Low achievement,Low activity completion,Elevated complaints,Timely reporting,Review progress against targets and identify implementation bottlenecks. | Review delayed or incomplete activities and implementation constraints. | Review feedback and complaint records for recurring operational issues.,Recommended for human review; the model does not make operational decisions.
ES-002332,2026-04-01,Livelihood Recovery Initiative,Livelihoods,Borno,Bama,Bama Site 1,Low,4.895965831370454e-07,Supply delay,Low achievement,Low activity completion,Timely reporting,"Review procurement, logistics and supply-chain bottlenecks. | Review progress against targets and identify implementation bottlenecks. | Review delayed or incomplete activities and implementation constraints.",Recommended for human review; the model does not make operational decisions.
ES-002876,2026-04-01,Livelihood Recovery Initiative,Livelihoods,Borno,Dikwa,Dikwa Site 6,Medium,0.0001351686374234,Low achievement,Access constraints,,Limited supply delay,"Review progress against targets and identify implementation bottlenecks. | Review access, movement and operational constraints affecting delivery.",Recommended for human review; the model does not make operational decisions.
ES-001404,2026-04-01,Community Resilience Programme,Protection/Resilience,Borno,Gwoza,Gwoza Site 2,Medium,0.0094918890592842,Low activity completion,Low achievement,Access constraints,Timely reporting,"Review delayed or incomplete activities and implementation constraints. | Review progress against targets and identify implementation bottlenecks. | Review access, movement and operational constraints affecting delivery.",Recommended for human review; the model does not make operational decisions.
ES-005340,2026-04-01,Nutrition Support Programme,Nutrition,Borno,Mafa,Mafa Site 5,Medium,0.346868552020873,Reporting delay,Low achievement,Elevated complaints,Strong staff availability,Validate reporting timeliness and follow up on delayed field submissions. | Review progress against targets and identify implementation bottlenecks. | Review feedback and complaint records for recurring operational issues.,Recommended for human review; the model does not make operational decisions.
ES-005820,2026-04-01,Nutrition Support Programme,Nutrition,Borno,Dikwa,Dikwa Site 2,Medium,8.415483879270645e-06,Supply delay,Low activity completion,Elevated complaints,Strong achievement,"Review procurement, logistics and supply-chain bottlenecks. | Review delayed or incomplete activities and implementation constraints. | Review feedback and complaint records for recurring operational issues.",Recommended for human review; the model does not make operational decisions.
ES-005148,2026-04-01,Nutrition Support Programme,Nutrition,Borno,Konduga,Konduga Site 5,Low,5.749938102744014e-23,Previous-month achievement pattern,Budget utilisation pattern,Low staff availability,Strong achievement,"Review recent performance trends for persistent underachievement. | Review expenditure patterns against implementation progress. | Review staffing coverage, absences and field deployment capacity.",Recommended for human review; the model does not make operational decisions.
ES-001180,2026-04-01,Community Resilience Programme,Protection/Resilience,Borno,Dikwa,Dikwa Site 1,Medium,1.443737886177618e-05,Low activity completion,Reporting delay,Access constraints,Lower complaints,"Review delayed or incomplete activities and implementation constraints. | Validate reporting timeliness and follow up on delayed field submissions. | Review access, movement and operational constraints affecting delivery.",Recommended for human review; the model does not make operational decisions.
ES-000284,2026-04-01,Community Resilience Programme,Protection/Resilience,Borno,Jere,Jere Site 3,Low,1.2614685316717174e-11,Reporting delay,Access constraints,Low staff availability,Strong achievement,"Validate reporting timeliness and follow up on delayed field submissions. | Review access, movement and operational constraints affecting delivery. | Review staffing coverage, absences and field deployment capacity.",Recommended for human review; the model does not make operational decisions.
ES-002396,2026-04-01,Livelihood Recovery Initiative,Livelihoods,Borno,Bama,Bama Site 3,Low,4.790780939407088e-26,Previous-month achievement pattern,Budget utilisation pattern,Low staff availability,Strong achievement,"Review recent performance trends for persistent underachievement. | Review expenditure patterns against implementation progress. | Review staffing coverage, absences and field deployment capacity.",Recommended for human review; the model does not make operational decisions.
ES-006556,2026-04-01,WASH Resilience Initiative,WASH,Borno,Konduga,Konduga Site 1,Low,7.683514234797976e-17,Reporting delay,Previous-month achievement pattern,Lower data quality,Strong activity completion,"Validate reporting timeliness and follow up on delayed field submissions. | Review recent performance trends for persistent underachievement. | Validate source data, completeness and reporting quality.",Recommended for human review; the model does not make operational decisions.
ES-001980,2026-04-01,Livelihood Recovery Initiative,Livelihoods,Borno,Konduga,Konduga Site 2,Medium,7.841638034963596e-07,Access constraints,Low activity completion,Supply delay,Lower complaints,"Review access, movement and operational constraints affecting delivery. | Review delayed or incomplete activities and implementation constraints. | Review procurement, logistics and supply-chain bottlenecks.",Recommended for human review; the model does not make operational decisions.
ES-004796,2026-04-01,Nutrition Support Programme,Nutrition,Borno,Maiduguri,Maiduguri Site 6,Low,5.648320893029506e-17,Reporting delay,Supply delay,Low staff availability,Strong achievement,"Validate reporting timeliness and follow up on delayed field submissions. | Review procurement, logistics and supply-chain bottlenecks. | Review staffing coverage, absences and field deployment capacity.",Recommended for human review; the model does not make operational decisions.
ES-007068,2026-04-01,WASH Resilience Initiative,WASH,Borno,Bama,Bama Site 5,Medium,4.833589068832224e-06,Reporting delay,Low staff availability,Low achievement,Lower complaints,"Validate reporting timeliness and follow up on delayed field submissions. | Review staffing coverage, absences and field deployment capacity. | Review progress against targets and identify implementation bottlenecks.",Recommended for human review; the model does not make operational decisions.
ES-004476,2026-04-01,Education Access Project,Education,Borno,Gwoza,Gwoza Site 2,Low,1.9108566379476896e-12,Supply delay,Access constraints,,Timely reporting,"Review procurement, logistics and supply-chain bottlenecks. | Review access, movement and operational constraints affecting delivery.",Recommended for human review; the model does not make operational decisions.
ES-006172,2026-04-01,WASH Resilience Initiative,WASH,Borno,Maiduguri,Maiduguri Site 1,Low,1.5967594955444618e-27,Low staff availability,Supply delay,Previous-month achievement pattern,Strong achievement,"Review staffing coverage, absences and field deployment capacity. | Review procurement, logistics and supply-chain bottlenecks. | Review recent performance trends for persistent underachievement.",Recommended for human review; the model does not make operational decisions.
ES-003132,2026-04-01,Education Access Project,Education,Borno,Maiduguri,Maiduguri Site 2,Low,2.8468868890141483e-22,Access constraints,Low activity completion,Previous-month achievement pattern,Strong achievement,"Review access, movement and operational constraints affecting delivery. | Review delayed or incomplete activities and implementation constraints. | Review recent performance trends for persistent underachievement.",Recommended for human review; the model does not make operational decisions.
ES-004636,2026-04-01,Nutrition Support Programme,Nutrition,Borno,Maiduguri,Maiduguri Site 1,Low,6.498362742505941e-09,Low achievement,Reporting delay,Previous-month achievement pattern,Strong activity completion,Review progress against targets and identify implementation bottlenecks. | Validate reporting timeliness and follow up on delayed field submissions. | Review recent performance trends for persistent underachievement.,Recommended for human review; the model does not make operational decisions.
ES-004252,2026-04-01,Education Access Project,Education,Borno,Dikwa,Dikwa Site 1,Medium,7.612035836185181e-06,Supply delay,Reporting delay,Low achievement,Lower complaints,"Review procurement, logistics and supply-chain bottlenecks. | Validate reporting timeliness and follow up on delayed field submissions. | Review progress against targets and identify implementation bottlenecks.",Recommended for human review; the model does not make operational decisions.
ES-002012,2026-04-01,Livelihood Recovery Initiative,Livelihoods,Borno,Konduga,Konduga Site 3,Medium,0.0001696454129664,Reporting delay,Low activity completion,Low achievement,Limited supply delay,Validate reporting timeliness and follow up on delayed field submissions. | Review delayed or incomplete activities and implementation constraints. | Review progress against targets and identify implementation bottlenecks.,Recommended for human review; the model does not make operational decisions.
ES-003228,2026-04-01,Education Access Project,Education,Borno,Maiduguri,Maiduguri Site 5,Medium,0.1209227228459746,Low achievement,Low activity completion,Access constraints,Timely reporting,"Review progress against targets and identify implementation bottlenecks. | Review delayed or incomplete activities and implementation constraints. | Review access, movement and operational constraints affecting delivery.",Recommended for human review; the model does not make operational decisions.
ES-004604,2026-04-01,Education Access Project,Education,Borno,Gwoza,Gwoza Site 6,Medium,0.0011480109195368,Supply delay,Access constraints,Low staff availability,Timely reporting,"Review procurement, logistics and supply-chain bottlenecks. | Review access, movement and operational constraints affecting delivery. | Review staffing coverage, absences and field deployment capacity.",Recommended for human review; the model does not make operational decisions.
ES-000380,2026-04-01,Community Resilience Programme,Protection/Resilience,Borno,Jere,Jere Site 6,Low,1.1757851486476757e-23,Access constraints,Low staff availability,Lower data quality,Strong achievement,"Review access, movement and operational constraints affecting delivery. | Review staffing coverage, absences and field deployment capacity. | Validate source data, completeness and reporting quality.",Recommended for human review; the model does not make operational decisions.
ES-003292,2026-04-01,Education Access Project,Education,Borno,Jere,Jere Site 1,Low,1.0984702310118623e-10,Reporting delay,Supply delay,Lower data quality,Strong achievement,"Validate reporting timeliness and follow up on delayed field submissions. | Review procurement, logistics and supply-chain bottlenecks. | Validate source data, completeness and reporting quality.",Recommended for human review; the model does not make operational decisions.
ES-004956,2026-04-01,Nutrition Support Programme,Nutrition,Borno,Jere,Jere Site 5,Medium,6.887414740342035e-07,Reporting delay,Low activity completion,Access constraints,Strong achievement,"Validate reporting timeliness and follow up on delayed field submissions. | Review delayed or incomplete activities and implementation constraints. | Review access, movement and operational constraints affecting delivery.",Recommended for human review; the model does not make operational decisions.
ES-006780,2026-04-01,WASH Resilience Initiative,WASH,Borno,Mafa,Mafa Site 2,Low,3.397393694371144e-16,Supply delay,Budget utilisation pattern,Previous-month achievement pattern,Timely reporting,"Review procurement, logistics and supply-chain bottlenecks. | Review expenditure patterns against implementation progress. | Review recent performance trends for persistent underachievement.",Recommended for human review; the model does not make operational decisions.
ES-001948,2026-04-01,Livelihood Recovery Initiative,Livelihoods,Borno,Konduga,Konduga Site 1,Medium,9.379756571535592e-05,Reporting delay,Low achievement,Access constraints,Lower complaints,"Validate reporting timeliness and follow up on delayed field submissions. | Review progress against targets and identify implementation bottlenecks. | Review access, movement and operational constraints affecting delivery.",Recommended for human review; the model does not make operational decisions.
ES-001884,2026-04-01,Livelihood Recovery Initiative,Livelihoods,Borno,Jere,Jere Site 5,Low,4.1610069076322036e-11,Access constraints,Supply delay,Previous-month achievement pattern,Strong activity completion,"Review access, movement and operational constraints affecting delivery. | Review procurement, logistics and supply-chain bottlenecks. | Review recent performance trends for persistent underachievement.",Recommended for human review; the model does not make operational decisions.
ES-007324,2026-04-01,WASH Resilience Initiative,WASH,Borno,Dikwa,Dikwa Site 1,Low,1.1614678969136402e-15,Elevated complaints,Access constraints,Low staff availability,Strong activity completion,"Review feedback and complaint records for recurring operational issues. | Review access, movement and operational constraints affecting delivery. | Review staffing coverage, absences and field deployment capacity.",Recommended for human review; the model does not make operational decisions.
ES-002684,2026-04-01,Livelihood Recovery Initiative,Livelihoods,Borno,Ngala,Ngala Site 6,Medium,0.0002209215122463,Low activity completion,Elevated complaints,Supply delay,Timely reporting,"Review delayed or incomplete activities and implementation constraints. | Review feedback and complaint records for recurring operational issues. | Review procurement, logistics and supply-chain bottlenecks.",Recommended for human review; the model does not make operational decisions.
ES-000828,2026-04-01,Community Resilience Programme,Protection/Resilience,Borno,Bama,Bama Site 2,Medium,0.0004224493360994,Elevated complaints,Reporting delay,Access constraints,Strong achievement,"Review feedback and complaint records for recurring operational issues. | Validate reporting timeliness and follow up on delayed field submissions. | Review access, movement and operational constraints affecting delivery.",Recommended for human review; the model does not make operational decisions.
ES-006076,2026-04-01,Nutrition Support Programme,Nutrition,Borno,Gwoza,Gwoza Site 4,High,0.9979877226346576,Low achievement,Supply delay,Low activity completion,Lower complaints,"Review progress against targets and identify implementation bottlenecks. | Review procurement, logistics and supply-chain bottlenecks. | Review delayed or incomplete activities and implementation constraints.",Recommended for human review; the model does not make operational decisions.
ES-003324,2026-04-01,Education Access Project,Education,Borno,Jere,Jere Site 2,Low,4.673065956116482e-19,Supply delay,Access constraints,Elevated complaints,Strong achievement,"Review procurement, logistics and supply-chain bottlenecks. | Review access, movement and operational constraints affecting delivery. | Review feedback and complaint records for recurring operational issues.",Recommended for human review; the model does not make operational decisions.
ES-004700,2026-04-01,Nutrition Support Programme,Nutrition,Borno,Maiduguri,Maiduguri Site 3,Low,2.882125503671258e-16,Elevated complaints,Low activity completion,Low staff availability,Strong achievement,"Review feedback and complaint records for recurring operational issues. | Review delayed or incomplete activities and implementation constraints. | Review staffing coverage, absences and field deployment capacity.",Recommended for human review; the model does not make operational decisions.
ES-001916,2026-04-01,Livelihood Recovery Initiative,Livelihoods,Borno,Jere,Jere Site 6,Medium,4.841385960351337e-06,Supply delay,Low activity completion,Elevated complaints,Strong achievement,"Review procurement, logistics and supply-chain bottlenecks. | Review delayed or incomplete activities and implementation constraints. | Review feedback and complaint records for recurring operational issues.",Recommended for human review; the model does not make operational decisions.
ES-003100,2026-04-01,Education Access Project,Education,Borno,Maiduguri,Maiduguri Site 1,Medium,0.118699191552803,Low activity completion,Supply delay,Low achievement,Lower complaints,"Review delayed or incomplete activities and implementation constraints. | Review procurement, logistics and supply-chain bottlenecks. | Review progress against targets and identify implementation bottlenecks.",Recommended for human review; the model does not make operational decisions.
ES-003932,2026-04-01,Education Access Project,Education,Borno,Bama,Bama Site 3,High,0.5149827203142512,Low activity completion,Low achievement,Reporting delay,Lower access constraints,Review delayed or incomplete activities and implementation constraints. | Review progress against targets and identify implementation bottlenecks. | Validate reporting timeliness and follow up on delayed field submissions.,Recommended for human review; the model does not make operational decisions.
ES-000732,2026-04-01,Community Resilience Programme,Protection/Resilience,Borno,Mafa,Mafa Site 5,Low,1.9074328759590756e-14,Supply delay,Reporting delay,Access constraints,Strong achievement,"Review procurement, logistics and supply-chain bottlenecks. | Validate reporting timeliness and follow up on delayed field submissions. | Review access, movement and operational constraints affecting delivery.",Recommended for human review; the model does not make operational decisions.
ES-005052,2026-04-01,Nutrition Support Programme,Nutrition,Borno,Konduga,Konduga Site 2,Low,1.2485135768747865e-11,Low staff availability,Access constraints,Low activity completion,Strong achievement,"Review staffing coverage, absences and field deployment capacity. | Review access, movement and operational constraints affecting delivery. | Review delayed or incomplete activities and implementation constraints.",Recommended for human review; the model does not make operational decisions.
ES-005980,2026-04-01,Nutrition Support Programme,Nutrition,Borno,Gwoza,Gwoza Site 1,Low,5.14691323967168e-20,Reporting delay,Lower data quality,Budget utilisation pattern,Strong achievement,"Validate reporting timeliness and follow up on delayed field submissions. | Validate source data, completeness and reporting quality. | Review expenditure patterns against implementation progress.",Recommended for human review; the model does not make operational decisions.
ES-005500,2026-04-01,Nutrition Support Programme,Nutrition,Borno,Bama,Bama Site 4,Low,2.735158135077933e-21,Reporting delay,Low staff availability,Budget utilisation pattern,Strong achievement,"Validate reporting timeliness and follow up on delayed field submissions. | Review staffing coverage, absences and field deployment capacity. | Review expenditure patterns against implementation progress.",Recommended for human review; the model does not make operational decisions.
ES-003260,2026-04-01,Education Access Project,Education,Borno,Maiduguri,Maiduguri Site 6,Low,7.191597784123834e-22,Low activity completion,Access constraints,Previous-month achievement pattern,Strong achievement,"Review delayed or incomplete activities and implementation constraints. | Review access, movement and operational constraints affecting delivery. | Review recent performance trends for persistent underachievement.",Recommended for human review; the model does not make operational decisions.
ES-007100,2026-04-01,WASH Resilience Initiative,WASH,Borno,Bama,Bama Site 6,Low,1.5539724408476878e-10,Low activity completion,Access constraints,Previous-month achievement pattern,Lower complaints,"Review delayed or incomplete activities and implementation constraints. | Review access, movement and operational constraints affecting delivery. | Review recent performance trends for persistent underachievement.",Recommended for human review; the model does not make operational decisions.
ES-005756,2026-04-01,Nutrition Support Programme,Nutrition,Borno,Ngala,Ngala Site 6,Medium,0.0005666597064194,Low achievement,Low activity completion,Elevated complaints,Limited supply delay,Review progress against targets and identify implementation bottlenecks. | Review delayed or incomplete activities and implementation constraints. | Review feedback and complaint records for recurring operational issues.,Recommended for human review; the model does not make operational decisions.
ES-007228,2026-04-01,WASH Resilience Initiative,WASH,Borno,Ngala,Ngala Site 4,Medium,3.137756388902536e-06,Low achievement,Access constraints,Reporting delay,Strong activity completion,"Review progress against targets and identify implementation bottlenecks. | Review access, movement and operational constraints affecting delivery. | Validate reporting timeliness and follow up on delayed field submissions.",Recommended for human review; the model does not make operational decisions.
ES-000892,2026-04-01,Community Resilience Programme,Protection/Resilience,Borno,Bama,Bama Site 4,Low,1.2285406163169378e-07,Low activity completion,Access constraints,Low staff availability,Strong achievement,"Review delayed or incomplete activities and implementation constraints. | Review access, movement and operational constraints affecting delivery. | Review staffing coverage, absences and field deployment capacity.",Recommended for human review; the model does not make operational decisions.
ES-000956,2026-04-01,Community Resilience Programme,Protection/Resilience,Borno,Bama,Bama Site 6,Medium,0.0005546233384216,Low achievement,Low activity completion,Reporting delay,Lower access constraints,Review progress against targets and identify implementation bottlenecks. | Review delayed or incomplete activities and implementation constraints. | Validate reporting timeliness and follow up on delayed field submissions.,Recommended for human review; the model does not make operational decisions.
ES-000316,2026-04-01,Community Resilience Programme,Protection/Resilience,Borno,Jere,Jere Site 4,Low,4.120581977136505e-13,Supply delay,Access constraints,Low staff availability,Strong achievement,"Review procurement, logistics and supply-chain bottlenecks. | Review access, movement and operational constraints affecting delivery. | Review staffing coverage, absences and field deployment capacity.",Recommended for human review; the model does not make operational decisions.
ES-006940,2026-04-01,WASH Resilience Initiative,WASH,Borno,Bama,Bama Site 1,Medium,0.0332808848718849,Low achievement,Low activity completion,Access constraints,Strong data quality,"Review progress against targets and identify implementation bottlenecks. | Review delayed or incomplete activities and implementation constraints. | Review access, movement and operational constraints affecting delivery.",Recommended for human review; the model does not make operational decisions.
ES-006588,2026-04-01,WASH Resilience Initiative,WASH,Borno,Konduga,Konduga Site 2,Low,6.802930678335042e-17,Access constraints,Low staff availability,Budget utilisation pattern,Strong achievement,"Review access, movement and operational constraints affecting delivery. | Review staffing coverage, absences and field deployment capacity. | Review expenditure patterns against implementation progress.",Recommended for human review; the model does not make operational decisions.
ES-004668,2026-04-01,Nutrition Support Programme,Nutrition,Borno,Maiduguri,Maiduguri Site 2,Low,2.248986683239953e-28,Elevated complaints,Lower data quality,Previous-month achievement pattern,Strong achievement,"Review feedback and complaint records for recurring operational issues. | Validate source data, completeness and reporting quality. | Review recent performance trends for persistent underachievement.",Recommended for human review; the model does not make operational decisions.
ES-000348,2026-04-01,Community Resilience Programme,Protection/Resilience,Borno,Jere,Jere Site 5,Low,2.383815269909456e-12,Supply delay,Reporting delay,Lower data quality,Strong achievement,"Review procurement, logistics and supply-chain bottlenecks. | Validate reporting timeliness and follow up on delayed field submissions. | Validate source data, completeness and reporting quality.",Recommended for human review; the model does not make operational decisions.
ES-003164,2026-04-01,Education Access Project,Education,Borno,Maiduguri,Maiduguri Site 3,Medium,7.129845705370957e-06,Supply delay,Access constraints,Low staff availability,Strong activity completion,"Review procurement, logistics and supply-chain bottlenecks. | Review access, movement and operational constraints affecting delivery. | Review staffing coverage, absences and field deployment capacity.",Recommended for human review; the model does not make operational decisions.
ES-005212,2026-04-01,Nutrition Support Programme,Nutrition,Borno,Mafa,Mafa Site 1,Low,4.806651481206499e-13,Low achievement,Previous-month achievement pattern,,Lower complaints,Review progress against targets and identify implementation bottlenecks. | Review recent performance trends for persistent underachievement.,Recommended for human review; the model does not make operational decisions.
